Location|Address|City|Hours|Phone Number|Eligibility|Limitations|Link
Alta View InstaCare|9450 S 1300 E|Sandy|9 a.m. to 5 p.m.||||https://intermountainhealthcare.org/covid19-coronavirus/get-testing/locations-requiring-an-order/
Fillmore Clinic|700 S Highway 99|Fillmore|MF 9 a.m. to 4:30 p.m.|435-743-5555||Need testing order|https://intermountainhealthcare.org/covid19-coronavirus/get-testing/locations-requiring-an-order/
Garfield Memorial Hospital|200 N 400 E|Panguitch|MF 9 a.m. to 5:00 p.m.|||Need testing order|https://intermountainhealthcare.org/covid19-coronavirus/get-testing/locations-requiring-an-order/
Herber InstaCare|1485 S Highway 40 Ste G|Heber|9 a.m. to 5 p.m.|||Need testing order|https://intermountainhealthcare.org/covid19-coronavirus/get-testing/locations-requiring-an-order/
Sevier Valley Clinic|1000 N Main Ste A|Richfield|9 a.m. to 5 p.m.|||Need testing order|https://intermountainhealthcare.org/covid19-coronavirus/get-testing/locations-requiring-an-order/
Davis Hospital and Medical Center|1600 Antelope Drive|Layton|9 a.m. to 5 p.m.|801-984-1577|||https://coronavirus.utah.gov/steward-health-care-testing-locations/
Jordan Valley Medical Center|3580 West 9000 South|West Jordan|9 a.m. to 5 p.m.|801-984-1577|||https://coronavirus.utah.gov/steward-health-care-testing-locations/
Mountain Point Medical Center|3000 North Triumph Blvd|Lehi|9 a.m. to 5 p.m.|801-984-1577|||https://coronavirus.utah.gov/steward-health-care-testing-locations/
Virginia Hospital Center |1429 N. Quincy St|Arlington|M-F 9-3 |703.558.5766||appt only|https://www.virginiahospitalcenter.com/
Parking lot at PM Pediatrics|11056 Lee Highway|Fairfax|10:30 a.m. to 7:15 a.m.|703-552-5437||need referral|https://pmpediatrics.com/location/virginia-fairfax/
Kaiser||Woodbridge|||||
Kaiser||Tysons|||||
Martinsville Speedway|340 Speedway Rd|Ridgeway|MWF 12:00 pm to 4 pm.|||Need referral|https://wset.com/news/local/drive-through-coronavirus-test-site-in-martinsville-opens-what-you-need-to-know
Southwestern Vermont Medical Center|140 Hospital Drive|Bennington|M-F 8 a.m. to 5 p.m.|||appt only|https://www.burlingtonfreepress.com/story/news/local/2020/03/09/vermont-hospital-treating-states-covid-19-case-drive-up-test/4998718002/
Providence Hawks Prairie Family Medicine|2555 Marvine Road N.E.|Lacey|||phone screen||https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
Kaiser Permanente Lynnwood Medical Center|20200 54th Ave. W.|Lynwood|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
Kaiser Permanente Puyallup Medical Center|1007 39th Ave. S.E|Puyallup|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
Kaiser Permanente Factoria Medical Center|13451 S.E. 36th St.|Bellevue|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
Everett Memorial Stadium|3900 Broadway|Everett|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
Kaiser Permanente Olympia Medical Center|700 Lilly Road N.E.|Olympia|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
Kaiser Permanente Capitol Hill Campus|201 16th Ave. E.|Seattle|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
Kaiser Permanente Silverdale Medical Center|10452 Silverdale Way N.W.|Silverdale|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
Kaiser Permanente Burien Medical Center|140 SW 146th St|Burien|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
PacMed Northgate clinic|10416 5th Ave NE|Seattle|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
PacMed Beacon Hill clinic|Pacific Tower, 1200 12th Ave S|Seattle|||||
PacMed Renton clinic|601 S Carr|Renton|||||
Parking Garage at Swedish Medical Center Issaquah|751 N.E. Blakely Drive|Issaquah|||||https://www.kiro7.com/news/local/where-are-coivd-19-drive-thru-test-sites-western-washington/FF47QNZ6OZGMVPQIM5YIEDMG3M/
Yakima Valley Sundome|1301 S Fair Ave|Yakima|9 a.m. to 4 p.m.||Must have fever, cough, shortness of breath, and high-risk|Appt only|https://www.yakimaherald.com/special_projects/coronavirus/new-drive-thru-testing-site-to-launch-for-select-yakima-county-residents-deaths-rise-to/article_d0c6b24b-5e14-5e53-81ed-9f283211fcb1.html
Army National Guard Base|1211 Carver St.|Bremerton|10 a.m. to 2:30 p.m.|360-728-2235 ||Register online|https://www.kitsapsun.com/story/news/2020/04/07/kitsap-drive-thru-covid-testing-near-me-coronavirus-washington-cases/2964380001/
University of Washington Medicine|10330 Meridian Ave. N.|Seattle|||UW Patients only||https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
Providence Regional Medical Center|1700 13th St|Everett|||||https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
Providence Regional Medical Center|19200 N. Kelsey St.|Monroe||||Appt only|https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
International Community Health Services|720 Eigth ave. S.|Seattle||206-788-3700|||https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
International Community Health Services|16549 Aurora Ave|Shoreline||206-533-2600|||https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
Seattle Children's Hospital|5801 Sand Point Way N.E.|Seattle|||||https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
Healthpoint|955 Powell Ave. S.W.|Renton|||||https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
Downtown Public Health Center|2124 Fourth Ave.|Seattle|||||https://www.seattletimes.com/seattle-news/health/how-and-where-to-be-tested-for-the-coronavirus-that-causes-covid-19/
Ascension SE Wisconsin Hospital - Franklin Campus |10101 S 27th St|Franklin||833-981-0711||need referral|https://patch.com/wisconsin/milwaukee/ascension-clarifies-drive-through-coronavirus-testing-rules
Ascension Columbia St. Mary's Milwaukee - Gateway Clinic|801 S 70th St|West Allis||833-981-0711||need referral|https://patch.com/wisconsin/milwaukee/ascension-clarifies-drive-through-coronavirus-testing-rules
Ascension St. Francis Medical Arts Pavilion|2025 W Oklahoma Av|Milkwaukee||833-981-0711||need referral|https://patch.com/wisconsin/milwaukee/ascension-clarifies-drive-through-coronavirus-testing-rules
Ascension Wisconsin Health Center - Mount Pleasant Urgent Care|10180 Washington Ave,|Mt Pleasant||833-981-0711||need referral|https://patch.com/wisconsin/milwaukee/ascension-clarifies-drive-through-coronavirus-testing-rules
Ascension SE Wisconsin Hospital - Mayfair Road Urgent Care| 201 N Mayfair Rd|Wauwatosa||833-981-0711||need referral|https://patch.com/wisconsin/milwaukee/ascension-clarifies-drive-through-coronavirus-testing-rules
Grafton High School|1950 Washington St|Grafton||833-981-0711||need referral|https://patch.com/wisconsin/milwaukee/ascension-clarifies-drive-through-coronavirus-testing-rules
Ascension SE Wisconsin Hospital - St. Joseph Campus|5000 W Chambers St|Milwaukee||833-981-0711||need referral|https://patch.com/wisconsin/milwaukee/ascension-clarifies-drive-through-coronavirus-testing-rules
Ascension SE Wisconsin Hospital - Elmbrook Campus|19333 W North Ave|Brookfield||833-981-0711||need referral|https://patch.com/wisconsin/milwaukee/ascension-clarifies-drive-through-coronavirus-testing-rules
Froedtert Pleasant Prairie Hospital|9555 76th St|Pleasant Prairie||262-671-7777||appt only|
University Town Centre|6040 University Town Centre Drive,|Morgantown|10 a.m. to 4 p.m|304-598-6000||need referral|https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/
Mon Health|1200 J D Anderson Dr|Morgantown|MF 9 a.m to 1 p.m, 2 p.m. to 7 p.m.|304-285-3798||pre screen/pre-register|https://www.newstribune.info/news/20200324/where-in-wva-can-i-get-coronavirus-test
Dr. Ayne Amjadu2019s office|330 N Eisenhower Drive|Beckley|10am to 12pm|304-252-5900||Appt only|https://www.newstribune.info/news/20200324/where-in-wva-can-i-get-coronavirus-test
Camden Clark Medical Center|800 Garfield Ave, Parkersburg|Parkersburg|10 a.m. to 4 p.m|304-598-6000||need referral|https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/
United Hospital Center u2028|327 Medical Park Drive|Bridgeport|10 a.m. to 4 p.m|304-598-6000||need referral|https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/
Wheeling Park parking lotu2028|1801 National Rd|Wheeling|10 a.m. to 4 p.m|304-221-3995||need referral|https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/
Berkeley Medical Center|2500 Hospital Dr|Martinsburg|10 a.m. to 4 p.m|304-598-6000||need referral|https://wvumedicine.org/news/article/wvu-medicine-to-offer-pre-screened-patients-drive-through-specimen-collection-for-covid-19/
Princeton Community Hospital|122 12th Street|Princetown|MF 10 a.m. to 2 p.m.|304-487-7000||need referral|https://pchonline.org/
Davis Medical Center|812 Gorman Avenue|Elkins|8 a.m. to 5 p.m.|304-630-3088|||
St. Maryu2019s Center|2853 5th Avenue,|Huntington|10-4 M-F|304-696-2900|referral and pre-screen||https://www.marshallhealth.org/news/drive-through-covid-19-testing-center-opens-in-huntington/
Home Medical Resources|901 W. Second Street|Gillette||307-688-1000|call to get screened first||https://k2radio.com/drive-thru-screening-under-criteria-in-campbell-county-begins/
